,stormNumber,initial_phase,main_phase,minimumSymH,end_recovery_phase,min_SYM_H,ifCME,ifHSS,ifcomplex,Unnamed: 9,new_begining_times,new_ending_times
85,27,1998-12-25 03:47:00,1998-12-25 07:57:00,1998-12-25 11:33:00,1998-12-25 20:37:00,-72,ICME,HSS,complex,,1998-12-25 03:47:00,1998-12-25 20:37:00
86,0,1999-01-13 07:00:00,1999-01-13 11:20:00,1999-01-13 23:39:00,1999-01-17 22:33:00,-111,ICME,,,,1999-01-13 07:00:00,1999-01-16 23:39:00
87,1,1999-02-18 01:19:00,1999-02-18 03:48:00,1999-02-18 09:42:00,1999-02-21 22:43:00,-128,ICME,,,,1999-02-18 01:19:00,1999-02-21 09:42:00
88,2,1999-02-28 03:25:00,1999-02-28 18:42:00,1999-03-01 01:23:00,1999-03-05 20:49:00,-94,,HSS,,,1999-02-28 05:42:00,1999-03-04 01:23:00
89,3,1999-03-10 00:14:00,1999-03-10 02:54:00,1999-03-10 09:00:00,1999-03-12 15:02:00,-80,ICME,,,,1999-03-10 00:14:00,1999-03-12 15:02:00
90,4,1999-03-28 14:07:00,1999-03-29 08:46:00,1999-03-29 14:26:00,1999-04-02 16:12:00,-59,,HSS,,,1999-03-28 19:46:00,1999-04-01 14:26:00
91,5,1999-04-16 09:27:00,1999-04-16 19:59:00,1999-04-17 04:17:00,1999-04-21 07:29:00,-123,ICME,,,,1999-04-16 09:27:00,1999-04-20 04:17:00
92,6,1999-04-26 02:51:00,1999-04-26 12:54:00,1999-04-28 22:06:00,1999-05-05 10:51:00,-50,,HSS,complex,,1999-04-26 02:51:00,1999-05-01 22:06:00
93,7,1999-05-12 12:38:00,1999-05-13 03:51:00,1999-05-13 06:24:00,1999-05-15 14:55:00,-69,,HSS,complex,,1999-05-12 14:51:00,1999-05-15 14:55:00
94,8,1999-06-28 03:00:00,1999-06-28 06:29:00,1999-06-28 10:52:00,1999-07-01 14:29:00,-52,ICME,,,,1999-06-28 03:00:00,1999-07-01 10:52:00
95,9,1999-07-30 18:05:00,1999-07-30 20:57:00,1999-07-31 02:28:00,1999-08-01 00:57:00,-70,ICME,HSS,complex,,1999-07-30 18:05:00,1999-08-01 00:57:00
96,10,1999-08-21 11:03:00,1999-08-22 08:29:00,1999-08-23 15:53:00,1999-08-26 11:53:00,-75,,HSS,,,1999-08-21 19:29:00,1999-08-26 11:53:00
97,11,1999-09-12 02:54:00,1999-09-12 09:48:00,1999-09-13 03:54:00,1999-09-15 20:19:00,-70,ICME,HSS,complex,,1999-09-12 02:54:00,1999-09-15 20:19:00
98,12,1999-09-22 11:17:00,1999-09-22 20:43:00,1999-09-22 23:35:00,1999-09-25 21:17:00,-166,ICME,,,,1999-09-22 11:17:00,1999-09-25 21:17:00
99,13,1999-09-26 09:45:00,1999-09-26 20:30:00,1999-09-27 16:03:00,1999-09-29 17:21:00,-68,,HSS,,,1999-09-26 09:45:00,1999-09-29 17:21:00
100,14,1999-10-21 17:41:00,1999-10-22 00:14:00,1999-10-22 07:12:00,1999-10-25 05:22:00,-228,ICME,,,,1999-10-21 17:41:00,1999-10-25 05:22:00
101,15,1999-10-28 09:54:00,1999-10-28 13:53:00,1999-10-28 16:52:00,1999-10-31 06:50:00,-70,ICME,HSS,complex,,1999-10-28 09:54:00,1999-10-31 06:50:00
102,16,1999-11-06 21:21:00,1999-11-07 04:25:00,1999-11-08 13:13:00,1999-11-10 10:59:00,-79,,HSS,,,1999-11-06 21:21:00,1999-11-10 10:59:00
103,17,1999-11-13 07:52:00,1999-11-13 12:59:00,1999-11-13 20:10:00,1999-11-16 09:49:00,-106,ICME,,,,1999-11-13 07:52:00,1999-11-16 09:49:00
104,18,1999-12-02 06:48:00,1999-12-02 21:19:00,1999-12-05 06:41:00,1999-12-07 09:34:00,-51,,HSS,,,1999-12-02 08:19:00,1999-12-07 09:34:00
105,19,1999-12-12 11:48:00,1999-12-12 19:24:00,1999-12-13 09:01:00,1999-12-18 04:19:00,-98,ICME,,,,1999-12-12 11:48:00,1999-12-16 09:01:00
106,20,1999-12-30 12:57:00,1999-12-30 20:41:00,1999-12-31 23:10:00,2000-01-03 21:56:00,-62,,HSS,,,1999-12-30 12:57:00,2000-01-03 21:56:00
107,0,2000-01-11 01:34:00,2000-01-11 11:20:00,2000-01-11 21:29:00,2000-01-16 09:49:00,-83,,HSS,,,2000-01-11 01:34:00,2000-01-14 21:29:00
108,1,2000-01-21 21:41:00,2000-01-22 07:13:00,2000-01-23 03:14:00,2000-01-27 06:15:00,-101,ICME,,,,2000-01-21 21:41:00,2000-01-26 03:14:00
109,2,2000-02-05 13:35:00,2000-02-05 18:32:00,2000-02-06 23:50:00,2000-02-10 19:48:00,-55,,HSS,complex,,2000-02-05 13:35:00,2000-02-09 23:50:00
110,3,2000-02-11 19:21:00,2000-02-12 00:01:00,2000-02-12 11:34:00,2000-02-14 11:38:00,-165,ICME,,,,2000-02-11 19:21:00,2000-02-14 11:38:00
111,4,2000-03-05 21:33:00,2000-03-06 03:03:00,2000-03-08 21:31:00,2000-03-10 05:55:00,-57,,HSS,,,2000-03-05 21:33:00,2000-03-10 05:55:00
112,5,2000-03-29 18:43:00,2000-03-29 21:09:00,2000-03-31 11:24:00,2000-04-01 10:21:00,-73,ICME,,,,2000-03-29 18:43:00,2000-04-01 10:21:00
113,6,2000-04-06 11:47:00,2000-04-06 17:01:00,2000-04-07 00:09:00,2000-04-12 19:19:00,-320,ICME,,,,2000-04-06 11:47:00,2000-04-10 00:09:00
114,7,2000-04-15 15:37:00,2000-04-15 19:35:00,2000-04-16 11:02:00,2000-04-18 16:59:00,-94,ICME,HSS,complex,,2000-04-15 15:37:00,2000-04-18 16:59:00
115,8,2000-04-24 00:45:00,2000-04-24 05:33:00,2000-04-24 14:07:00,2000-04-26 17:35:00,-78,ICME,,,,2000-04-24 00:45:00,2000-04-26 17:35:00
116,9,2000-05-01 08:14:00,2000-05-01 11:42:00,2000-05-02 11:57:00,2000-05-03 14:18:00,-53,ICME,,,,2000-05-01 08:14:00,2000-05-03 14:18:00
117,10,2000-05-16 18:24:00,2000-05-17 00:42:00,2000-05-17 05:37:00,2000-05-19 05:22:00,-100,ICME,,,,2000-05-16 18:24:00,2000-05-19 05:22:00
118,11,2000-05-23 15:46:00,2000-05-24 02:23:00,2000-05-24 03:48:00,2000-05-29 16:13:00,-173,ICME,,,,2000-05-23 15:46:00,2000-05-27 03:48:00
119,12,2000-05-29 12:53:00,2000-05-29 16:37:00,2000-05-29 21:37:00,2000-06-01 21:27:00,-59,,HSS,,,2000-05-29 12:53:00,2000-06-01 21:27:00
120,13,2000-06-08 02:06:00,2000-06-08 09:58:00,2000-06-08 18:56:00,2000-06-11 17:44:00,-90,ICME,,,,2000-06-08 02:06:00,2000-06-11 17:44:00
121,14,2000-06-25 20:21:00,2000-06-26 03:16:00,2000-06-26 17:46:00,2000-06-30 23:05:00,-80,ICME,,,,2000-06-25 20:21:00,2000-06-29 17:46:00
122,15,2000-07-15 12:50:00,2000-07-15 15:57:00,2000-07-15 21:54:00,2000-07-19 18:09:00,-347,ICME,,,,2000-07-15 12:50:00,2000-07-18 21:54:00
123,16,2000-07-23 17:20:00,2000-07-23 20:08:00,2000-07-23 22:48:00,2000-07-25 07:06:00,-70,ICME,HSS,complex,,2000-07-23 17:20:00,2000-07-25 07:06:00
124,17,2000-07-28 01:50:00,2000-07-28 10:01:00,2000-07-29 11:22:00,2000-07-31 07:14:00,-87,ICME,,,,2000-07-28 01:50:00,2000-07-31 07:14:00
125,18,2000-08-05 01:18:00,2000-08-05 05:59:00,2000-08-06 05:15:00,2000-08-08 18:41:00,-63,,HSS,,,2000-08-05 01:18:00,2000-08-08 18:41:00
126,19,2000-08-11 18:34:00,2000-08-12 02:26:00,2000-08-12 10:06:00,2000-08-14 22:19:00,-235,ICME,,,,2000-08-11 18:34:00,2000-08-14 22:19:00
127,20,2000-08-28 00:17:00,2000-08-28 10:32:00,2000-08-29 06:42:00,2000-08-30 18:56:00,-63,,HSS,,,2000-08-28 00:17:00,2000-08-30 18:56:00
128,21,2000-09-10 23:13:00,2000-09-12 04:18:00,2000-09-12 19:06:00,2000-09-15 04:49:00,-67,,HSS,,,2000-09-11 15:18:00,2000-09-15 04:49:00
129,22,2000-09-17 11:10:00,2000-09-17 20:27:00,2000-09-18 00:24:00,2000-09-23 22:21:00,-203,ICME,,,,2000-09-17 11:10:00,2000-09-21 00:24:00
130,23,2000-09-28 19:06:00,2000-09-29 11:14:00,2000-09-30 13:40:00,2000-10-02 05:37:00,-72,,HSS,complex,,2000-09-28 22:14:00,2000-10-02 05:37:00
131,24,2000-10-03 16:13:00,2000-10-04 01:11:00,2000-10-05 13:45:00,2000-10-08 13:12:00,-187,ICME,HSS,complex,,2000-10-03 16:13:00,2000-10-08 13:12:00
132,25,2000-10-12 20:46:00,2000-10-13 00:46:00,2000-10-14 14:33:00,2000-10-16 22:05:00,-101,ICME,,,,2000-10-12 20:46:00,2000-10-16 22:05:00
133,26,2000-10-28 07:43:00,2000-10-28 11:30:00,2000-10-29 02:38:00,2000-10-31 17:15:00,-121,ICME,,,,2000-10-28 07:43:00,2000-10-31 17:15:00
134,27,2000-11-06 06:53:00,2000-11-06 10:00:00,2000-11-06 21:04:00,2000-11-08 03:44:00,-176,ICME,,,,2000-11-06 06:53:00,2000-11-08 03:44:00
135,28,2000-11-09 09:25:00,2000-11-10 08:36:00,2000-11-10 12:32:00,2000-11-13 20:54:00,-107,ICME,,,,2000-11-09 19:36:00,2000-11-13 12:32:00
136,29,2000-11-26 03:44:00,2000-11-26 19:32:00,2000-11-29 13:50:00,2000-12-03 04:21:00,-128,ICME,HSS,complex,,2000-11-26 06:32:00,2000-12-02 13:50:00
